dBZ,lat,lon
29.4,21.315884490842212,-102.70682592441744
34.2,21.315884490842212,-102.30374001255439
34.2,21.311260413953043,-103.4170249119857
29.4,21.311260413953043,-103.40742762836993
34.2,21.311260413953043,-103.15789825435945
37.4,21.311260413953043,-103.15309961255156
42.5,21.311260413953043,-103.14830097074366
42.5,21.311260413953043,-103.14350232893577
37.4,21.311260413953043,-103.13870368712787
37.4,21.311260413953043,-103.13390504531999
34.2,21.311260413953043,-103.1291064035121
37.4,21.311260413953043,-102.25095495266754
34.2,21.311260413953043,-102.23655902724387
29.4,21.306636337063875,-103.4170249119857
29.4,21.306636337063875,-103.39783034475414
29.4,21.306636337063875,-103.16749553797524
34.2,21.306636337063875,-103.16269689616735
34.2,21.306636337063875,-103.15789825435945
37.4,21.306636337063875,-103.15309961255156
42.5,21.306636337063875,-103.14830097074366
42.5,21.306636337063875,-103.14350232893577
42.5,21.306636337063875,-103.13870368712787
42.5,21.306636337063875,-103.13390504531999
34.2,21.306636337063875,-103.1291064035121
34.2,21.306636337063875,-102.71642320803323
34.2,21.306636337063875,-102.71162456622534
34.2,21.306636337063875,-102.32293457978595
29.4,21.302012260174706,-103.40742762836993
29.4,21.302012260174706,-103.39783034475414
29.4,21.302012260174706,-103.16269689616735
37.4,21.302012260174706,-103.15789825435945
37.4,21.302012260174706,-103.15309961255156
37.4,21.302012260174706,-103.14830097074366
42.5,21.302012260174706,-103.14350232893577
37.4,21.302012260174706,-103.13870368712787
34.2,21.302012260174706,-103.13390504531999
34.2,21.302012260174706,-103.1291064035121
29.4,21.302012260174706,-102.75961098430427
29.4,21.302012260174706,-102.75481234249638
34.2,21.302012260174706,-102.71642320803323
34.2,21.302012260174706,-102.33733050520964
29.4,21.297388183285538,-103.4170249119857
29.4,21.297388183285538,-103.40742762836993
29.4,21.297388183285538,-103.15789825435945
34.2,21.297388183285538,-103.15309961255156
37.4,21.297388183285538,-103.14830097074366
37.4,21.297388183285538,-103.14350232893577
34.2,21.297388183285538,-103.13870368712787
34.2,21.297388183285538,-103.13390504531999
29.4,21.297388183285538,-102.75961098430427
34.2,21.297388183285538,-102.72602049164902
34.2,21.297388183285538,-102.72122184984113
34.2,21.297388183285538,-102.33733050520964
29.4,21.29276410639637,-103.40742762836993
29.4,21.29276410639637,-103.15789825435945
34.2,21.29276410639637,-103.15309961255156
29.4,21.29276410639637,-103.14830097074366
29.4,21.29276410639637,-103.14350232893577
34.2,21.29276410639637,-103.13870368712787
29.4,21.29276410639637,-102.73081913345692
34.2,21.29276410639637,-102.35652507244122
37.4,21.29276410639637,-102.27494816170702
34.2,21.29276410639637,-102.27014951989912
29.4,21.2881400295072,-103.4170249119857
34.2,21.2881400295072,-103.40742762836993
29.4,21.2881400295072,-103.16269689616735
34.2,21.2881400295072,-103.15789825435945
29.4,21.2881400295072,-103.15309961255156
29.4,21.2881400295072,-103.14830097074366
34.2,21.2881400295072,-103.14350232893577
34.2,21.2881400295072,-102.35652507244122
34.2,21.2881400295072,-102.35172643063332
34.2,21.2881400295072,-102.2845454453228
34.2,21.2881400295072,-102.27494816170702
29.4,21.28351595261803,-103.4170249119857
29.4,21.28351595261803,-103.16749553797524
